Code,Name,ipo_date,,
000751.SZ,锌业股份,1997/6/26,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000752.SZ,*ST西发,1997/6/25,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
000753.SZ,漳州发展,1997/6/26,CSRC零售业,Wind零售业
000755.SZ,山西路桥,1997/6/27,CSRC道路运输业,Wind运输
000756.SZ,新华制药,1997/8/6,CSRC医药制造业,Wind制药、生物科技与生命科学
000757.SZ,浩物股份,1997/6/27,CSRC通用设备制造业,Wind汽车与汽车零部件
000758.SZ,中色股份,1997/4/16,CSRC有色金属矿采选业,Wind材料Ⅱ
000759.SZ,中百集团,1997/5/19,CSRC零售业,Wind食品与主要用品零售Ⅱ
000760.SZ,*ST斯太,1997/6/27,CSRC汽车制造业,Wind汽车与汽车零部件
000761.SZ,本钢板材,1998/1/15,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
000762.SZ,西藏矿业,1997/7/8,CSRC黑色金属矿采选业,Wind材料Ⅱ
000766.SZ,通化金马,1997/4/30,CSRC医药制造业,Wind制药、生物科技与生命科学
000767.SZ,漳泽电力,1997/6/9,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000768.SZ,中航飞机,1997/6/26,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
000776.SZ,广发证券,1997/6/11,CSRC资本市场服务,Wind多元金融
000777.SZ,中核科技,1997/7/10,CSRC通用设备制造业,Wind资本货物
000778.SZ,新兴铸管,1997/6/6,CSRC金属制品业,Wind材料Ⅱ
000779.SZ,甘咨询,1997/5/28,CSRC专业技术服务业,Wind商业和专业服务
000780.SZ,平庄能源,1997/6/6,CSRC煤炭开采和洗选业,Wind能源Ⅱ
000782.SZ,美达股份,1997/6/19,CSRC化学纤维制造业,Wind材料Ⅱ
000783.SZ,长江证券,1997/7/31,CSRC资本市场服务,Wind多元金融
000785.SZ,武汉中商,1997/7/11,CSRC零售业,Wind零售业
